profile pic,nums/length username,fullname words,nums/length fullname,name==username,description length,external URL,private,posts,followers,follows,fake,follow_ratio,engagement_rate,platform,connections,endorsements,skills listed,private profile,friends count,groups joined,posts shared,data_source,job_title,company_name,job_description_length,skills_required,salary_range,job_post_age,verified_recruiter,company_website_available,job_location,fake_job
1.0,0.27,0.0,0.0,0.0,53.0,0.0,0.0,32.0,1000.0,955.0,0.0,1.0460251046025104,0.0319680319680319,Instagram,,,,,,,,social_media,,,,,,,,,,
1.0,0.0,2.0,0.0,0.0,44.0,0.0,0.0,286.0,2740.0,533.0,0.0,5.131086142322097,0.1043414812112367,Instagram,,,,,,,,social_media,,,,,,,,,,
1.0,0.1,2.0,0.0,0.0,0.0,0.0,1.0,13.0,159.0,98.0,0.0,1.606060606060606,0.08125,Instagram,,,,,,,,social_media,,,,,,,,,,
1.0,0.0,1.0,0.0,0.0,82.0,0.0,0.0,679.0,414.0,651.0,0.0,0.6349693251533742,1.636144578313253,Instagram,,,,,,,,social_media,,,,,,,,,,
1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,6.0,151.0,126.0,0.0,1.188976377952756,0.0394736842105263,Instagram,,,,,,,,social_media,,,,,,,,,,
1.0,0.0,4.0,0.0,0.0,81.0,1.0,0.0,344.0,669987.0,150.0,0.0,4437.0,0.0005134420317975,Instagram,,,,,,,,social_media,,,,,,,,,,
1.0,0.0,2.0,0.0,0.0,50.0,0.0,0.0,16.0,122.0,177.0,0.0,0.6853932584269663,0.1300813008130081,Instagram,,,,,,,,social_media,,,,,,,,,,
1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,33.0,1078.0,76.0,0.0,14.0,0.0305838739573679,Instagram,,,,,,,,social_media,,,,,,,,,,
1.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,72.0,1824.0,2713.0,0.0,0.6720707442888725,0.0394520547945205,Instagram,,,,,,,,social_media,,,,,,,,,,
1.0,0.0,2.0,0.0,0.0,40.0,1.0,0.0,213.0,12945.0,813.0,0.0,15.902948402948402,0.0164529584427622,Instagram,,,,,,,,social_media,,,,,,,,,,
1.0,0.0,2.0,0.0,0.0,54.0,0.0,0.0,648.0,9884.0,1173.0,0.0,8.419080068143101,0.0655538694992412,Instagram,,,,,,,,social_media,,,,,,,,,,
1.0,0.0,2.0,0.0,0.0,54.0,1.0,0.0,76.0,1188.0,365.0,0.0,3.2459016393442623,0.063919259882254,Instagram,,,,,,,,social_media,,,,,,,,,,
1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,298.0,945.0,583.0,0.0,1.6181506849315068,0.3150105708245243,Instagram,,,,,,,,social_media,,,,,,,,,,
1.0,0.0,2.0,0.0,0.0,103.0,1.0,0.0,117.0,12033.0,248.0,0.0,48.32530120481928,0.0097224530496925,Instagram,,,,,,,,social_media,,,,,,,,,,
1.0,0.0,2.0,0.0,0.0,98.0,1.0,0.0,487.0,1962.0,2701.0,0.0,0.7261287934863064,0.2480896586856851,Instagram,,,,,,,,social_media,,,,,,,,,,
1.0,0.0,3.0,0.0,0.0,46.0,0.0,0.0,254.0,50374.0,900.0,0.0,55.90899001109878,0.0050421836228287,Instagram,,,,,,,,social_media,,,,,,,,,,
1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,59.0,7007.0,289.0,0.0,24.162068965517243,0.0084189497716894,Instagram,,,,,,,,social_media,,,,,,,,,,
1.0,0.29,3.0,0.0,0.0,48.0,0.0,0.0,1570.0,1128.0,694.0,0.0,1.623021582733813,1.3906111603188662,Instagram,,,,,,,,social_media,,,,,,,,,,
1.0,0.0,2.0,0.0,0.0,63.0,1.0,0.0,378.0,34670.0,1878.0,0.0,18.45130388504524,0.0109024833434282,Instagram,,,,,,,,social_media,,,,,,,,,,
1.0,0.0,2.0,0.0,0.0,106.0,1.0,0.0,526.0,2338.0,776.0,0.0,3.009009009009009,0.2248824283882,Instagram,,,,,,,,social_media,,,,,,,,,,
1.0,0.0,2.0,0.0,0.0,40.0,0.0,0.0,228.0,3516.0,999.0,0.0,3.516,0.0648279783906738,Instagram,,,,,,,,social_media,,,,,,,,,,
1.0,0.0,1.0,0.0,0.0,35.0,1.0,1.0,35.0,1809.0,416.0,0.0,4.338129496402877,0.0193370165745856,Instagram,,,,,,,,social_media,,,,,,,,,,
1.0,0.0,2.0,0.0,0.0,30.0,0.0,0.0,281.0,427.0,470.0,0.0,0.9065817409766456,0.6565420560747663,Instagram,,,,,,,,social_media,,,,,,,,,,
1.0,0.0,1.0,0.0,0.0,27.0,0.0,0.0,285.0,759.0,956.0,0.0,0.7931034482758621,0.375,Instagram,,,,,,,,social_media,,,,,,,,,,
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,15338538.0,61.0,0.0,247395.7741935484,9.648898112134407e-06,Instagram,,,,,,,,social_media,,,,,,,,,,
1.0,0.0,1.0,0.0,0.0,109.0,1.0,1.0,57.0,109.0,179.0,0.0,0.6055555555555555,0.5181818181818182,Instagram,,,,,,,,social_media,,,,,,,,,,
1.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,17.0,536.0,665.0,0.0,0.8048048048048048,0.031657355679702,Instagram,,,,,,,,social_media,,,,,,,,,,
1.0,0.0,2.0,0.0,0.0,132.0,1.0,0.0,511.0,121354.0,176.0,0.0,685.6158192090395,0.0042107865353714,Instagram,,,,,,,,social_media,,,,,,,,,,
